# BEGIN cycle heat=3.500V/300ms cool=0.500V/5000ms x10
t_ms,phase,target_v,wiper,vldo_v,isns_v,current_a
4,HEAT,3.500,96,3.4842,2.5443,0.7710
14,HEAT,3.500,96,3.4812,2.5409,0.7700
24,HEAT,3.500,96,3.4818,2.5400,0.7697
34,HEAT,3.500,96,3.4818,2.5385,0.7692
44,HEAT,3.500,96,3.4812,2.5391,0.7694
54,HEAT,3.500,96,3.4812,2.5367,0.7687
64,HEAT,3.500,96,3.4806,2.5400,0.7697
74,HEAT,3.500,96,3.4800,2.5360,0.7685
84,HEAT,3.500,96,3.4824,2.5376,0.7690
95,HEAT,3.500,96,3.4812,2.5360,0.7685
104,HEAT,3.500,96,3.4812,2.5364,0.7686
114,HEAT,3.500,96,3.4818,2.5391,0.7694
124,HEAT,3.500,96,3.4818,2.5345,0.7680
134,HEAT,3.500,96,3.4812,2.5415,0.7702
144,HEAT,3.500,96,3.4812,2.5394,0.7695
154,HEAT,3.500,96,3.4806,2.5406,0.7699
164,HEAT,3.500,96,3.4812,2.5425,0.7704
174,HEAT,3.500,96,3.4818,2.5425,0.7704
184,HEAT,3.500,96,3.4806,2.5437,0.7708
194,HEAT,3.500,96,3.4824,2.5464,0.7716
204,HEAT,3.500,96,3.4818,2.5477,0.7720
214,HEAT,3.500,96,3.4812,2.5513,0.7731
224,HEAT,3.500,96,3.4793,2.5513,0.7731
234,HEAT,3.500,96,3.4848,2.5614,0.7762
244,HEAT,3.500,96,3.4806,2.5626,0.7766
254,HEAT,3.500,96,3.4824,2.5675,0.7780
265,HEAT,3.500,96,3.4806,2.5748,0.7803
274,HEAT,3.500,96,3.4800,2.5785,0.7814
284,HEAT,3.500,96,3.4806,2.5913,0.7853
294,HEAT,3.500,96,3.4818,2.6008,0.7881
304,HEAT,3.500,96,3.4812,2.6118,0.7915
312,COOL,0.500,14,0.5358,0.3757,0.1139
321,COOL,0.500,14,0.4979,0.3766,0.1141
331,COOL,0.500,14,0.4961,0.3760,0.1140
341,COOL,0.500,14,0.4949,0.3754,0.1138
352,COOL,0.500,14,0.4943,0.3748,0.1136
361,COOL,0.500,14,0.4936,0.3754,0.1138
371,COOL,0.500,14,0.4961,0.3748,0.1136
381,COOL,0.500,14,0.4961,0.3751,0.1137
392,COOL,0.500,14,0.4973,0.3754,0.1138
401,COOL,0.500,14,0.4943,0.3751,0.1137
411,COOL,0.500,14,0.4949,0.3754,0.1138
421,COOL,0.500,14,0.4955,0.3751,0.1137
431,COOL,0.500,14,0.4961,0.3751,0.1137
441,COOL,0.500,14,0.4943,0.3745,0.1135
451,COOL,0.500,14,0.4961,0.3745,0.1135
461,COOL,0.500,14,0.4955,0.3739,0.1133
471,COOL,0.500,14,0.4961,0.3736,0.1132
481,COOL,0.500,14,0.4961,0.3733,0.1131
491,COOL,0.500,14,0.4955,0.3727,0.1129
501,COOL,0.500,14,0.4973,0.3724,0.1128
511,COOL,0.500,14,0.4973,0.3736,0.1132
522,COOL,0.500,14,0.4973,0.3727,0.1129
531,COOL,0.500,14,0.4943,0.3736,0.1132
541,COOL,0.500,14,0.4955,0.3727,0.1129
551,COOL,0.500,14,0.4961,0.3733,0.1131
562,COOL,0.500,14,0.4973,0.3721,0.1127
571,COOL,0.500,14,0.4949,0.3727,0.1129
581,COOL,0.500,14,0.4955,0.3730,0.1130
591,COOL,0.500,14,0.4949,0.3721,0.1127
601,COOL,0.500,14,0.4961,0.3721,0.1127
611,COOL,0.500,14,0.4973,0.3721,0.1127
621,COOL,0.500,14,0.4961,0.3724,0.1128
631,COOL,0.500,14,0.4949,0.3721,0.1127
641,COOL,0.500,14,0.4943,0.3718,0.1127
651,COOL,0.500,14,0.4979,0.3727,0.1129
661,COOL,0.500,14,0.4967,0.3721,0.1127
671,COOL,0.500,14,0.4973,0.3721,0.1127
681,COOL,0.500,14,0.4955,0.3718,0.1127
692,COOL,0.500,14,0.4985,0.3718,0.1127
701,COOL,0.500,14,0.4973,0.3712,0.1125
711,COOL,0.500,14,0.4961,0.3715,0.1126
721,COOL,0.500,14,0.4967,0.3715,0.1126
731,COOL,0.500,14,0.4961,0.3721,0.1127
741,COOL,0.500,14,0.4955,0.3712,0.1125
751,COOL,0.500,14,0.4955,0.3712,0.1125
761,COOL,0.500,14,0.4955,0.3715,0.1126
771,COOL,0.500,14,0.4943,0.3718,0.1127
781,COOL,0.500,14,0.4949,0.3702,0.1122
791,COOL,0.500,14,0.4973,0.3708,0.1124
801,COOL,0.500,14,0.4943,0.3712,0.1125
811,COOL,0.500,14,0.4949,0.3708,0.1124
821,COOL,0.500,14,0.4961,0.3712,0.1125
831,COOL,0.500,14,0.4979,0.3715,0.1126
841,COOL,0.500,14,0.4955,0.3705,0.1123
851,COOL,0.500,14,0.4943,0.3708,0.1124
862,COOL,0.500,14,0.4967,0.3708,0.1124
871,COOL,0.500,14,0.4930,0.3702,0.1122
881,COOL,0.500,14,0.4924,0.3693,0.1119
891,COOL,0.500,14,0.4924,0.3699,0.1121
901,COOL,0.500,14,0.4949,0.3699,0.1121
911,COOL,0.500,14,0.4967,0.3702,0.1122
921,COOL,0.500,14,0.4967,0.3696,0.1120
931,COOL,0.500,14,0.4973,0.3693,0.1119
941,COOL,0.500,14,0.4973,0.3699,0.1121
951,COOL,0.500,14,0.4949,0.3684,0.1116
961,COOL,0.500,14,0.4943,0.3702,0.1122
971,COOL,0.500,14,0.4961,0.3702,0.1122
981,COOL,0.500,14,0.4955,0.3690,0.1118
992,COOL,0.500,14,0.4930,0.3696,0.1120
1001,COOL,0.500,14,0.4949,0.3699,0.1121
1011,COOL,0.500,14,0.4967,0.3693,0.1119
1021,COOL,0.500,14,0.4955,0.3690,0.1118
1032,COOL,0.500,14,0.4973,0.3675,0.1114
1041,COOL,0.500,14,0.4961,0.3675,0.1114
1051,COOL,0.500,14,0.4949,0.3687,0.1117
1061,COOL,0.500,14,0.4936,0.3690,0.1118
1071,COOL,0.500,14,0.4936,0.3696,0.1120
1081,COOL,0.500,14,0.4943,0.3699,0.1121
1091,COOL,0.500,14,0.4955,0.3693,0.1119
1101,COOL,0.500,14,0.4949,0.3678,0.1115
1111,COOL,0.500,14,0.4961,0.3684,0.1116
1121,COOL,0.500,14,0.4967,0.3687,0.1117
1131,COOL,0.500,14,0.4961,0.3678,0.1115
1141,COOL,0.500,14,0.4949,0.3678,0.1115
1151,COOL,0.500,14,0.4949,0.3690,0.1118
1162,COOL,0.500,14,0.4961,0.3678,0.1115
1171,COOL,0.500,14,0.4949,0.3681,0.1115
1181,COOL,0.500,14,0.4961,0.3687,0.1117
1191,COOL,0.500,14,0.4961,0.3678,0.1115
1202,COOL,0.500,14,0.4943,0.3681,0.1115
1211,COOL,0.500,14,0.4949,0.3681,0.1115
1221,COOL,0.500,14,0.4955,0.3681,0.1115
1231,COOL,0.500,14,0.4961,0.3678,0.1115
1241,COOL,0.500,14,0.4961,0.3672,0.1113
1251,COOL,0.500,14,0.4949,0.3672,0.1113
1261,COOL,0.500,14,0.4943,0.3672,0.1113
1271,COOL,0.500,14,0.4936,0.3675,0.1114
1281,COOL,0.500,14,0.4955,0.3672,0.1113
1291,COOL,0.500,14,0.4967,0.3672,0.1113
1301,COOL,0.500,14,0.4967,0.3672,0.1113
1311,COOL,0.500,14,0.4930,0.3669,0.1112
1321,COOL,0.500,14,0.4930,0.3666,0.1111
1332,COOL,0.500,14,0.4936,0.3672,0.1113
1341,COOL,0.500,14,0.4961,0.3672,0.1113
1351,COOL,0.500,14,0.4961,0.3663,0.1110
1361,COOL,0.500,14,0.4967,0.3672,0.1113
1371,COOL,0.500,14,0.4949,0.3675,0.1114
1381,COOL,0.500,14,0.4943,0.3666,0.1111
1391,COOL,0.500,14,0.4967,0.3666,0.1111
1401,COOL,0.500,14,0.4967,0.3660,0.1109
1411,COOL,0.500,14,0.4979,0.3675,0.1114
1421,COOL,0.500,14,0.4949,0.3669,0.1112
1431,COOL,0.500,14,0.4936,0.3663,0.1110
1441,COOL,0.500,14,0.4943,0.3666,0.1111
1451,COOL,0.500,14,0.4949,0.3678,0.1115
1461,COOL,0.500,14,0.4943,0.3669,0.1112
1471,COOL,0.500,14,0.4949,0.3660,0.1109
1481,COOL,0.500,14,0.4955,0.3666,0.1111
1491,COOL,0.500,14,0.4949,0.3663,0.1110
1502,COOL,0.500,14,0.4961,0.3666,0.1111
1511,COOL,0.500,14,0.4949,0.3672,0.1113
1521,COOL,0.500,14,0.4961,0.3660,0.1109
1531,COOL,0.500,14,0.4961,0.3657,0.1108
1541,COOL,0.500,14,0.4930,0.3666,0.1111
1551,COOL,0.500,14,0.4930,0.3678,0.1115
1561,COOL,0.500,14,0.4961,0.3666,0.1111
1571,COOL,0.500,14,0.4955,0.3660,0.1109
1581,COOL,0.500,14,0.4967,0.3666,0.1111
1591,COOL,0.500,14,0.4949,0.3666,0.1111
1601,COOL,0.500,14,0.4955,0.3669,0.1112
1611,COOL,0.500,14,0.4943,0.3663,0.1110
1621,COOL,0.500,14,0.4967,0.3650,0.1106
1632,COOL,0.500,14,0.4961,0.3666,0.1111
1641,COOL,0.500,14,0.4949,0.3657,0.1108
1651,COOL,0.500,14,0.4918,0.3663,0.1110
1661,COOL,0.500,14,0.4955,0.3669,0.1112
1672,COOL,0.500,14,0.4949,0.3669,0.1112
1681,COOL,0.500,14,0.4955,0.3660,0.1109
1691,COOL,0.500,14,0.4930,0.3666,0.1111
1701,COOL,0.500,14,0.4949,0.3666,0.1111
1711,COOL,0.500,14,0.4973,0.3660,0.1109
1721,COOL,0.500,14,0.4955,0.3653,0.1107
1731,COOL,0.500,14,0.4930,0.3666,0.1111
1741,COOL,0.500,14,0.4943,0.3669,0.1112
1751,COOL,0.500,14,0.4955,0.3663,0.1110
1761,COOL,0.500,14,0.4961,0.3653,0.1107
1771,COOL,0.500,14,0.4936,0.3666,0.1111
1781,COOL,0.500,14,0.4955,0.3666,0.1111
1791,COOL,0.500,14,0.4961,0.3660,0.1109
1802,COOL,0.500,14,0.4973,0.3650,0.1106
1811,COOL,0.500,14,0.4949,0.3663,0.1110
1821,COOL,0.500,14,0.4949,0.3669,0.1112
1831,COOL,0.500,14,0.4943,0.3660,0.1109
1842,COOL,0.500,14,0.4967,0.3650,0.1106
1851,COOL,0.500,14,0.4955,0.3660,0.1109
1861,COOL,0.500,14,0.4955,0.3669,0.1112
1871,COOL,0.500,14,0.4955,0.3660,0.1109
1881,COOL,0.500,14,0.4949,0.3660,0.1109
1891,COOL,0.500,14,0.4973,0.3653,0.1107
1901,COOL,0.500,14,0.4943,0.3660,0.1109
1911,COOL,0.500,14,0.4949,0.3660,0.1109
1921,COOL,0.500,14,0.4973,0.3653,0.1107
1931,COOL,0.500,14,0.4961,0.3657,0.1108
1941,COOL,0.500,14,0.4949,0.3657,0.1108
1951,COOL,0.500,14,0.4943,0.3666,0.1111
1961,COOL,0.500,14,0.4967,0.3657,0.1108
1972,COOL,0.500,14,0.4961,0.3660,0.1109
1981,COOL,0.500,14,0.4961,0.3650,0.1106
1991,COOL,0.500,14,0.4943,0.3660,0.1109
2001,COOL,0.500,14,0.4961,0.3663,0.1110
2011,COOL,0.500,14,0.4961,0.3644,0.1104
2021,COOL,0.500,14,0.4955,0.3653,0.1107
2031,COOL,0.500,14,0.4943,0.3663,0.1110
2041,COOL,0.500,14,0.4955,0.3660,0.1109
2051,COOL,0.500,14,0.4961,0.3650,0.1106
2061,COOL,0.500,14,0.4943,0.3657,0.1108
2071,COOL,0.500,14,0.4949,0.3663,0.1110
2081,COOL,0.500,14,0.4973,0.3657,0.1108
2091,COOL,0.500,14,0.4967,0.3657,0.1108
2101,COOL,0.500,14,0.4955,0.3657,0.1108
2111,COOL,0.500,14,0.4961,0.3653,0.1107
2121,COOL,0.500,14,0.4973,0.3647,0.1105
2131,COOL,0.500,14,0.4967,0.3644,0.1104
2142,COOL,0.500,14,0.4949,0.3650,0.1106
2151,COOL,0.500,14,0.4955,0.3663,0.1110
2161,COOL,0.500,14,0.4967,0.3657,0.1108
2171,COOL,0.500,14,0.4955,0.3653,0.1107
2181,COOL,0.500,14,0.4943,0.3669,0.1112
2191,COOL,0.500,14,0.4955,0.3657,0.1108
2201,COOL,0.500,14,0.4973,0.3641,0.1103
2211,COOL,0.500,14,0.4961,0.3641,0.1103
2221,COOL,0.500,14,0.4936,0.3657,0.1108
2231,COOL,0.500,14,0.4967,0.3653,0.1107
2241,COOL,0.500,14,0.4979,0.3660,0.1109
2251,COOL,0.500,14,0.4949,0.3650,0.1106
2261,COOL,0.500,14,0.4936,0.3663,0.1110
2272,COOL,0.500,14,0.4936,0.3663,0.1110
2281,COOL,0.500,14,0.4973,0.3647,0.1105
2291,COOL,0.500,14,0.4949,0.3650,0.1106
2301,COOL,0.500,14,0.4955,0.3653,0.1107
2312,COOL,0.500,14,0.4973,0.3663,0.1110
2321,COOL,0.500,14,0.4949,0.3629,0.1100
2331,COOL,0.500,14,0.4961,0.3650,0.1106
2341,COOL,0.500,14,0.4955,0.3657,0.1108
2351,COOL,0.500,14,0.4973,0.3647,0.1105
2361,COOL,0.500,14,0.4955,0.3653,0.1107
2371,COOL,0.500,14,0.4943,0.3660,0.1109
2381,COOL,0.500,14,0.4949,0.3660,0.1109
2391,COOL,0.500,14,0.4955,0.3647,0.1105
2401,COOL,0.500,14,0.4955,0.3657,0.1108
2411,COOL,0.500,14,0.4943,0.3669,0.1112
2421,COOL,0.500,14,0.4961,0.3644,0.1104
2431,COOL,0.500,14,0.4967,0.3641,0.1103
2442,COOL,0.500,14,0.4961,0.3660,0.1109
2451,COOL,0.500,14,0.4955,0.3647,0.1105
2461,COOL,0.500,14,0.4961,0.3644,0.1104
2471,COOL,0.500,14,0.4967,0.3653,0.1107
2482,COOL,0.500,14,0.4949,0.3653,0.1107
2491,COOL,0.500,14,0.4961,0.3663,0.1110
