# BEGIN cycle heat=3.500V/100ms cool=0.500V/200ms x10
t_ms,phase,target_v,wiper,vldo_v,isns_v,current_a
4,HEAT,3.500,96,3.5783,0.5279,0.1600
13,HEAT,3.500,96,3.5704,0.5257,0.1593
23,HEAT,3.500,96,3.5710,0.5248,0.1590
33,HEAT,3.500,96,3.5704,0.5254,0.1592
43,HEAT,3.500,96,3.5698,0.5269,0.1597
53,HEAT,3.500,96,3.5698,0.5272,0.1598
63,HEAT,3.500,96,3.5692,0.5266,0.1596
73,HEAT,3.500,96,3.5710,0.5260,0.1594
83,HEAT,3.500,96,3.5710,0.5269,0.1597
94,HEAT,3.500,96,3.5685,0.5257,0.1593
103,HEAT,3.500,96,3.5692,0.5272,0.1598
110,COOL,0.500,14,0.7857,0.0696,0.0211
119,COOL,0.500,14,0.5083,0.0700,0.0212
129,COOL,0.500,14,0.5083,0.0690,0.0209
139,COOL,0.500,14,0.5077,0.0703,0.0213
149,COOL,0.500,14,0.5083,0.0693,0.0210
159,COOL,0.500,14,0.5071,0.0709,0.0215
169,COOL,0.500,14,0.5083,0.0709,0.0215
180,COOL,0.500,14,0.5083,0.0700,0.0212
189,COOL,0.500,14,0.5083,0.0715,0.0217
199,COOL,0.500,14,0.5083,0.0703,0.0213
209,COOL,0.500,14,0.5077,0.0693,0.0210
219,COOL,0.500,14,0.5083,0.0696,0.0211
229,COOL,0.500,14,0.5077,0.0690,0.0209
239,COOL,0.500,14,0.5089,0.0696,0.0211
249,COOL,0.500,14,0.5089,0.0709,0.0215
259,COOL,0.500,14,0.5077,0.0696,0.0211
269,COOL,0.500,14,0.5083,0.0696,0.0211
279,COOL,0.500,14,0.5083,0.0700,0.0212
289,COOL,0.500,14,0.5065,0.0703,0.0213
299,COOL,0.500,14,0.5083,0.0700,0.0212
309,COOL,0.500,14,0.5059,0.0709,0.0215
316,HEAT,3.500,96,3.5673,0.5257,0.1593
325,HEAT,3.500,96,3.5704,0.5260,0.1594
335,HEAT,3.500,96,3.5679,0.5257,0.1593
345,HEAT,3.500,96,3.5679,0.5260,0.1594
355,HEAT,3.500,96,3.5679,0.5254,0.1592
365,HEAT,3.500,96,3.5679,0.5251,0.1591
375,HEAT,3.500,96,3.5692,0.5266,0.1596
385,HEAT,3.500,96,3.5685,0.5269,0.1597
395,HEAT,3.500,96,3.5698,0.5279,0.1600
405,HEAT,3.500,96,3.5679,0.5269,0.1597
415,HEAT,3.500,96,3.5679,0.5266,0.1596
422,COOL,0.500,14,0.7832,0.0703,0.0213
431,COOL,0.500,14,0.5071,0.0693,0.0210
441,COOL,0.500,14,0.5083,0.0709,0.0215
451,COOL,0.500,14,0.5083,0.0706,0.0214
461,COOL,0.500,14,0.5083,0.0690,0.0209
471,COOL,0.500,14,0.5065,0.0690,0.0209
481,COOL,0.500,14,0.5071,0.0703,0.0213
491,COOL,0.500,14,0.5077,0.0690,0.0209
501,COOL,0.500,14,0.5083,0.0696,0.0211
511,COOL,0.500,14,0.5077,0.0706,0.0214
522,COOL,0.500,14,0.5071,0.0703,0.0213
531,COOL,0.500,14,0.5071,0.0703,0.0213
541,COOL,0.500,14,0.5083,0.0703,0.0213
551,COOL,0.500,14,0.5083,0.0693,0.0210
562,COOL,0.500,14,0.5077,0.0700,0.0212
571,COOL,0.500,14,0.5077,0.0700,0.0212
581,COOL,0.500,14,0.5077,0.0706,0.0214
591,COOL,0.500,14,0.5071,0.0709,0.0215
601,COOL,0.500,14,0.5083,0.0687,0.0208
611,COOL,0.500,14,0.5083,0.0696,0.0211
621,COOL,0.500,14,0.5071,0.0690,0.0209
628,HEAT,3.500,96,3.5679,0.5257,0.1593
637,HEAT,3.500,96,3.5685,0.5266,0.1596
648,HEAT,3.500,96,3.5679,0.5260,0.1594
657,HEAT,3.500,96,3.5698,0.5260,0.1594
667,HEAT,3.500,96,3.5679,0.5257,0.1593
677,HEAT,3.500,96,3.5679,0.5269,0.1597
687,HEAT,3.500,96,3.5679,0.5263,0.1595
697,HEAT,3.500,96,3.5679,0.5263,0.1595
707,HEAT,3.500,96,3.5685,0.5269,0.1597
717,HEAT,3.500,96,3.5685,0.5269,0.1597
